P1909;label
1;Inicial (jardin, preescolar)
2;Primario
3;EGB
4;Secundario
5;Polimodal
6;Superior no universitario
7;Universitario
8;Post universitario
9;Educación especial
10;MISSING
0;NOTAPPLICABLE
