CLAVE1P;label
420070042;ATALIVA ROCA
420070112;DOBLAS
420070231;MACACHIN
420070259;MIGUEL RIGLOS
420070322;ROLON
420070364;TOMAS M ANCHORENA
420140056;BERNASCONI
420140154;GENERAL SAN MARTIN
420140182;JACINTO ARAUZ
420140189;LA ADELA
420210028;ANGUIL
420210238;MAURICIO MAYER
420210336;SANTA ROSA
420210413;WINIFREDA
420280077;CATRILO
420280217;LONQUIMAY
420280259;MIGUEL RIGLOS
420280364;TOMAS M ANCHORENA
420280378;URIBURU
420350091;COLONIA BARON
420350098;CONHELO
420350119;EDUARDO CASTEX
420350210;LA MARUJA
420350224;LUAN TORO
420350238;MAURICIO MAYER
420350245;METILEO
420350266;MONTE NIEVAS
420350406;VILLA MIRASOL
420350413;WINIFREDA
420355133;RUCANELO
420420280;PUELCHES
420420385;COLONIA 25 DE MAYO
420422007;CASA DE PIEDRA
420425070;GOBERNADOR DUVAL
420490329;SANTA ISABEL
420490399;VICTORICA
420560049;BERNARDO LARROUDE
420560084;CEBALLOS
420560105;CORONEL HILARIO LAGOS
420560147;GENERAL PICO
420560175;INTENDENTE ALVEAR
420560392;VERTIZ
420565140;SARAH
420630196;LA HUMADA
420635021;ALGARROBO DEL AGUILA
420700014;ALPACHIRI
420700112;DOBLAS
420700140;GENERAL CAMPOS
420700161;GUATRACHE
420700322;ROLON
420700343;COLONIA SANTA TERESA
420705028;COLONIA SANTA MARIA
420705105;PERU
420770007;ABRAMO
420770056;BERNASCONI
420770154;GENERAL SAN MARTIN
420770182;JACINTO ARAUZ
420775105;PERU
420775154;UNANUE
420840189;LA ADELA
420840280;PUELCHES
420845042;CUCHILLO CO
420845070;GOBERNADOR DUVAL
420840133;GENERAL ACHA
420915077;LA REFORMA
420915084;LIMAY MAHUIDA
420980070;CARRO QUEMADO
420980224;LUAN TORO
420980350;TELEN
420980399;VICTORICA
420985091;LOVENTUE
421050147;GENERAL PICO
421050245;METILEO
421050301;QUEMU QUEMU
421050392;VERTIZ
421055014;AGUSTONI
421055056;DORILA
421055147;SPELUZZI
421120287;PUELEN
421120385;COLONIA 25 DE MAYO
421122007;CASA DE PIEDRA
421190077;CATRILO
421190091;COLONIA BARON
421190217;LONQUIMAY
421190245;METILEO
421190252;MIGUEL CANE
421190301;QUEMU QUEMU
421190378;URIBURU
421190406;VILLA MIRASOL
421195126;RELMO
421260063;CALEUFU
421260168;INGENIERO LUIGGI
421260210;LA MARUJA
421260273;PARERA
421260308;RANCUL
421265112;PICHI HUINCA
421265119;QUETREQUEN
421330021;ALTA ITALIA
421330126;EMBAJADOR MARTINI
421330168;INGENIERO LUIGGI
421330273;PARERA
421330315;REALICO
421330392;VERTIZ
421335007;ADOLFO VAN PRAET
421335063;FALUCHO
421335098;MAISONAVE
421400042;ATALIVA ROCA
421400070;CARRO QUEMADO
421400224;LUAN TORO
421400336;SANTA ROSA
421400357;TOAY
421400413;WINIFREDA
421470021;ALTA ITALIA
421470035;ARATA
421470063;CALEUFU
421470119;EDUARDO CASTEX
421470126;EMBAJADOR MARTINI
421470168;INGENIERO LUIGGI
421470245;METILEO
421470266;MONTE NIEVAS
421470371;TRENEL
421470392;VERTIZ
421475147;SPELUZZI
421540042;ATALIVA ROCA
421540133;GENERAL ACHA
421540294;QUEHUE
421545028;COLONIA SANTA MARIA
421545049;CHACHARRAMENDI
421545154;UNANUE
460070007;ARAUCO
460140014;CAPITAL
460210021;CASTRO BARROS
460280028;CORONEL FELIPE VARELA
460350035;CHAMICAL
460420042;CHILECITO
460490049;FAMATINA
460560056;GENERAL ANGEL V PEÑALOZA
460630063;GENERAL BELGRANO
460700070;GENERAL JUAN F QUIROGA
460770077;GENERAL LAMADRID
460840084;GENERAL OCAMPO
460910091;GENERAL SAN MARTIN
460980098;VINCHINA
