V00;label
1;Hogar de ancianos
10;Otros
2;Hogar de menores
3;Colegio internado
4;Campamento/obrador
5;Hospital
6;Prisión
7;Cuartel
8;Hogar de religiosos
9;Hotel turístico
11;MISSING
0;NOTAPPLICABLE
