H1409;label
1;Red pública
2;Perforación con bomba a motor
3;Perforacion con bomba manual
4;Pozo
5;Transporte por cisterna
6;Agua de lluvia, río, canal, arroyo o acequia
7;MISSING
0;NOTAPPLICABLE
