P12;label
309845;LAS MOSCAS
309855;ROCAMORA
309860;SAN CIPRIANO
309865;SAN MARCIAL
309872;TALA
300000;ZONA RURAL
300469;VICTORIA
309875;ANTELO
309880;CHILCAS
309885;DISTRITO PAJONAL
309890;HINOJAL
309895;LAGUNA DEL PESCADO
309900;MOLINO DOLL
309910;RINCON DE NOGOYA
309915;RINCON DEL DOLL
300000;ZONA RURAL
300476;VILLA CLARA
300483;VILLA DOMINGUEZ
300490;VILLAGUAY
309917;COLONIA ADIVINO
309920;ESTACION RAICES
309925;INGENIERO SAJAROFF
309930;JUBILEO
309935;LUCAS NORTE
309940;LUCAS SUR PRIMERO
309945;LUCAS SUR SEGUNDO
309950;MOJONES NORTE
309955;MOJONES SUR
309957;PARAJE LOS ALGARROBOS
309960;PASO DE LA LAGUNA
309965;RAICES OESTE
340000;ZONA RURAL
340007;LAGUNA YEMA
345007;LOS CHIRIGUANOS
345035;POZO DE MAZA
349007;POZO DEL MORTERO
340000;ZONA RURAL
340028;FORMOSA
345014;COLONIA PASTORIL
345021;GRAN GUARDIA
345028;SAN HILARIO
349014;MARIANO BOEDO
349021;MOJON DE FIERRO
349028;VILLA DEL CARMEN
340000;ZONA RURAL
340049;GRL. LUCIO VICTORIO MANSILLA
340056;HERRADURA
340063;MISION SAN FRANCISCO DE LAISHI
340070;VILLA ESCOLAR
349035;BANCO PAYAGUA
349042;TATANE
340000;ZONA RURAL
340077;INGENIERO GUILLERMO N. JUAREZ
340000;ZONA RURAL
340091;COMANDANTE FONTANA
340098;ESTANISLAO DEL CAMPO
340112;GENERAL BELGRANO
340119;VILLA GENERAL GUEMES
340126;IBARRETA
340133;LAS LOMITAS
340140;POZO DEL TIGRE
340147;SAN MARTIN DOS
345042;FORTIN CABO 1º  LUGONES
345049;SUBTENIENTE PERIN
349049;BARTOLOME DE LAS CASAS
349056;COLONIA SARMIENTO
349063;EL RECREO
349070;FORTIN SARGENTO 1º LEYES
349077;JUAN G. BAZAN
349084;POSTA CAMBIO ZALAZAR
349091;SAN MARTIN I
340000;ZONA RURAL
340168;EL ESPINILLO
340175;MISION TACAAGLE
345056;BUENA VISTA
345063;TRES LAGUNAS
349098;LAGUNA GALLO
349105;PORTON NEGRO
340000;ZONA RURAL
340189;CLORINDA
340196;LAGUNA BLANCA
340203;LAGUNA NAICK NECK
340210;RIACHO HE-HE
345070;SIETE PALMAS
349112;PALMA SOLA
349119;RIACHO NEGRO
340000;ZONA RURAL
340224;EL COLORADO
340231;MAYOR VICENTE E. VILLAFAÑE
340238;PALO SANTO
340245;PIRANE
340252;VILLA DOS TRECE
340000;ZONA RURAL
340259;GENERAL MOSCONI
349126;EL POTRILLO
380014;ABRA PAMPA
386007;ABDON CASTRO TOLAY
386014;ABRALAITE
386021;PUESTO DEL MARQUEZ
380056;EL CARMEN
380063;MONTERRICO
380077;PERICO
386035;AGUAS CALIENTES
386042;PAMPA BLANCA
386049;PUESTO VIEJO
380035;SAN SALVADOR DE JUJUY
386028;YALA
380091;EL AGUILAR
380105;HUMAHUACA
386056;HIPOLITO YRIGOYEN
386063;TRES CRUCES
380119;CAIMANCITO
380126;CALILEGUA
380133;FRAILE PINTADO
380134;FRAILE PINTADO
380140;LIBERTADOR GENERAL SAN MARTIN
380147;YUTO
380154;PALPALA
386070;MINA PIRQUITAS
386077;RINCONADA
386140;CUSI CUSI
386084;SAN ANTONIO
380196;LA ESPERANZA
380203;LA MENDIETA
380224;SAN PEDRO DE JUJUY
386091;ARRAYANAL
386105;RODEITO
386112;ROSARIO DE RIO GRANDE
380238;EL TALAR
380245;PALMA SOLA
380252;SANTA CLARA
386098;EL FUERTE
386119;EL PIQUETE
386126;VINALITO
386133;CIENEGUILLAS
386140;CUSI CUSI
386147;SANTA CATALINA
386154;CATUA
386161;SUSQUES
386168;CORANZULI
380329;TILCARA
386175;HUACALERA
386182;MAIMARA
386189;PURMAMARCA
386196;TUMBAYA
386203;VOLCAN
386210;CASPALA
386217;PAMPICHUELA
386224;SAN FRANCISCO
386231;SANTA ANA
386238;VALLE GRANDE
380406;LA QUIACA
386245;BARRIOS
386252;CANGREJILLOS
386259;EL CONDOR
386266;PUMAHUASI
386273;YAVI
420042;ATALIVA ROCA
420112;DOBLAS
420231;MACACHIN
420259;MIGUEL RIGLOS
420322;ROLON
420364;TOMAS M ANCHORENA
420056;BERNASCONI
420154;GENERAL SAN MARTIN
420182;JACINTO ARAUZ
420189;LA ADELA
420028;ANGUIL
420238;MAURICIO MAYER
420336;SANTA ROSA
420413;WINIFREDA
420077;CATRILO
420217;LONQUIMAY
420259;MIGUEL RIGLOS
420364;TOMAS M ANCHORENA
420378;URIBURU
420091;COLONIA BARON
420098;CONHELO
420119;EDUARDO CASTEX
420210;LA MARUJA
420224;LUAN TORO
420238;MAURICIO MAYER
420245;METILEO
420266;MONTE NIEVAS
420406;VILLA MIRASOL
420413;WINIFREDA
425133;RUCANELO
420280;PUELCHES
420385;COLONIA 25 DE MAYO
422007;CASA DE PIEDRA
425070;GOBERNADOR DUVAL
420329;SANTA ISABEL
420399;VICTORICA
420049;BERNARDO LARROUDE
420084;CEBALLOS
420105;CORONEL HILARIO LAGOS
420147;GENERAL PICO
420175;INTENDENTE ALVEAR
420392;VERTIZ
425140;SARAH
420196;LA HUMADA
425021;ALGARROBO DEL AGUILA
420014;ALPACHIRI
420112;DOBLAS
420140;GENERAL CAMPOS
420161;GUATRACHE
420322;ROLON
420343;COLONIA SANTA TERESA
425028;COLONIA SANTA MARIA
425105;PERU
420007;ABRAMO
420056;BERNASCONI
420154;GENERAL SAN MARTIN
420182;JACINTO ARAUZ
425105;PERU
425154;UNANUE
420189;LA ADELA
420280;PUELCHES
425042;CUCHILLO CO
425070;GOBERNADOR DUVAL
420133;GENERAL ACHA
425077;LA REFORMA
425084;LIMAY MAHUIDA
420070;CARRO QUEMADO
420224;LUAN TORO
420350;TELEN
420399;VICTORICA
425091;LOVENTUE
420147;GENERAL PICO
420245;METILEO
420301;QUEMU QUEMU
420392;VERTIZ
425014;AGUSTONI
425056;DORILA
425147;SPELUZZI
420287;PUELEN
420385;COLONIA 25 DE MAYO
422007;CASA DE PIEDRA
420077;CATRILO
420091;COLONIA BARON
420217;LONQUIMAY
420245;METILEO
420252;MIGUEL CANE
420301;QUEMU QUEMU
420378;URIBURU
420406;VILLA MIRASOL
425126;RELMO
420063;CALEUFU
420168;INGENIERO LUIGGI
420210;LA MARUJA
420273;PARERA
420308;RANCUL
425112;PICHI HUINCA
425119;QUETREQUEN
420021;ALTA ITALIA
420126;EMBAJADOR MARTINI
420168;INGENIERO LUIGGI
420273;PARERA
420315;REALICO
420392;VERTIZ
425007;ADOLFO VAN PRAET
425063;FALUCHO
425098;MAISONAVE
420042;ATALIVA ROCA
420070;CARRO QUEMADO
420224;LUAN TORO
420336;SANTA ROSA
420357;TOAY
420413;WINIFREDA
420021;ALTA ITALIA
420035;ARATA
420063;CALEUFU
420119;EDUARDO CASTEX
420126;EMBAJADOR MARTINI
420168;INGENIERO LUIGGI
420245;METILEO
420266;MONTE NIEVAS
420371;TRENEL
420392;VERTIZ
425147;SPELUZZI
420042;ATALIVA ROCA
420133;GENERAL ACHA
420294;QUEHUE
425028;COLONIA SANTA MARIA
425049;CHACHARRAMENDI
425154;UNANUE
460007;ARAUCO
460014;CAPITAL
460021;CASTRO BARROS
460028;CORONEL FELIPE VARELA
460035;CHAMICAL
460042;CHILECITO
460049;FAMATINA
460056;GENERAL ANGEL V PEÑALOZA
460063;GENERAL BELGRANO
460070;GENERAL JUAN F QUIROGA
460077;GENERAL LAMADRID
460084;GENERAL OCAMPO
460091;GENERAL SAN MARTIN
460098;VINCHINA
460105;INDEPENDENCIA
460112;ROSARIO VERA PEÑALOZA
460119;SAN BLAS DE LOS SAUCES
460126;SANAGASTA
500007;CAPITAL
500014;GENERAL ALVEAR
500021;GODOY CRUZ
500028;GUAYMALLEN
500035;JUNIN
500042;LA PAZ
500049;LAS HERAS
500056;LAVALLE
500063;LUJAN DE CUYO
500070;MAIPU
500077;MALARGUE
500084;RIVADAVIA
500091;SAN CARLOS
500098;SAN MARTIN
500105;SAN RAFAEL
500112;SANTA ROSA
500119;TUNUYAN
500126;TUPUNGATO
540007;APOSTOLES
540014;AZARA
540021;SAN JOSE
540028;TRES CAPONES
540035;ARISTOBULO DEL VALLE
540042;CAMPO GRANDE
540049;DOS DE MAYO
540056;BONPLAND
540063;CANDELARIA
540070;CERRO CORA
540077;LORETO
540084;MARTIRES
540091;PROFUNDIDAD
540098;SANTA ANA
540105;FACHINAL
540112;GARUPA
540119;POSADAS
540126;CONCEPCION DE LA SIERRA
540133;SANTA MARIA
540140;COLONIA DELICIA
540147;COLONIA VICTORIA
540154;ELDORADO
540161;9 DE JULIO
540168;SANTIAGO DE LINIERS
540175;BERNARDO DE IRIGOYEN
540182;ANDRESITO
540189;SAN ANTONIO
540196;EL SOBERBIO
540203;SAN VICENTE
540210;PUERTO ESPERANZA
540217;PUERTO IGUAZU
540224;PUERTO LIBERTAD
540231;WANDA
540238;ALMAFUERTE
540245;ARROYO DEL MEDIO
540252;CAA YARI
540259;CERRO AZUL
540266;DOS ARROYOS
540273;GOBERNADOR LOPEZ
540280;LEANDRO N. ALEM
540287;OLEGARIO VICTOR ANDRADE
540294;CAPIOVI
540301;EL ALCAZAR
540308;GARUHAPE
540315;PUERTO LEONI
540322;PUERTO RICO
540329;RUIZ DE MONTOYA
540336;CARAGUATAY
540343;MONTECARLO
540350;PUERTO PIRAY
540357;CAMPO RAMON
540364;CAMPO VIERA
540371;COLONIA ALBERDI
540378;GENERAL ALVEAR
540385;GUARANI
540392;LOS HELECHOS
540399;OBERA
540406;PANAMBI
540413;SAN MARTIN
540420;COLONIA POLANA
540427;CORPUS
540434;GENERAL URQUIZA
540441;GOBERNADOR ROCA
540448;HIPOLITO YRIGOYEN
540455;JARDIN AMERICA
540462;SAN IGNACIO
540469;SANTO PIPO
540476;FLORENTINO AMEGHINO
540483;ITACARUARE
540490;MOJON GRANDE
540497;SAN JAVIER
540504;SAN PEDRO
540511;ALBA POSSE
540518;COLONIA AURORA
540525;25 DE MAYO
580000;ZONA RURAL
580007;ALUMINE
580252;VILLA PEHUENIA
580000;ZONA RURAL
580014;AÑELO
580021;SAN PATRICIO DEL CHAÑAR
585014;AGUADA SAN ROQUE
585021;LOS CHIHUIDOS
580000;ZONA RURAL
580028;LAS COLORADAS
585028;PILO LIL
585154;VILLA PUENTE PICUN LEUFU
580000;ZONA RURAL
580035;PIEDRA DEL AGUILA
585035;SANTO TOMAS
580000;ZONA RURAL
580042;CENTENARIO
580049;CUTRAL CO
580056;NEUQUEN
580063;PLAZA HUINCUL
580070;PLOTTIER
580077;SENILLOSA
580084;VILLA EL CHOCON
580091;VISTA ALEGRE
585042;SAUZAL BONITO
580000;ZONA RURAL
580098;CHOS MALAL
580105;TRICAO MALAL
585049;COYUCO COCHICO
585056;VILLA CURI LEUVU
580000;ZONA RURAL
580112;JUNIN DE LOS ANDES
580000;ZONA RURAL
580119;SAN MARTIN DE LOS ANDES
580000;ZONA RURAL
580126;LONCOPUE
585063;CHORRIACA
580000;ZONA RURAL
580133;VILLA LA ANGOSTURA
585070;VILLA TRAFUL
580000;ZONA RURAL
580140;ANDACOLLO
580147;HUINGANCO
580154;LAS OVEJAS
580161;LOS MICHES
585077;GUAÑACOS
585084;MANZANO AMARGO
585091;VARVARCO - INVERNADA VIEJA
585098;VILLA DEL NAHUEVE
580000;ZONA RURAL
580168;CAVIAHUE - COPAHUE
580175;EL CHOLAR
580182;EL HUECU
580189;TAQUIMILAN
580000;ZONA RURAL
580196;BARRANCAS
580203;BUTA RANQUIL
580210;RINCON DE LOS SAUCES
585105;OCTAVIO PICO
580000;ZONA RURAL
580217;PICUN LEUFU
585112;EL SAUCE
585119;PASO AGUERRE
580000;ZONA RURAL
580224;BAJADA DEL AGRIO
580231;LAS LAJAS
585126;QUILI MALAL
580000;ZONA RURAL
580238;MARIANO MORENO
580245;ZAPALA
585133;COVUNCO ABAJO
585140;LOS CATUTOS
585147;RAMON M CASTRO
585154;VILLA PUENTE PICUN LEUFU
620000;ZONA RURAL
620007;GUARDIA MITRE
620014;VIEDMA
625014;SAN JAVIER
620000;ZONA RURAL
620021;CHIMPAY
620028;CHOELE CHOEL
620035;CORONEL BELISLE
620042;DARWIN
620049;LAMARQUE
620056;LUIS BELTRAN
620063;POMONA
625084;CHELFORO
620000;ZONA RURAL
620070;EL BOLSON
620077;SAN CARLOS DE BARILOCHE
625028;EL MANSO
625049;VILLA MASCARDI
620000;ZONA RURAL
620084;GENERAL CONESA
620000;ZONA RURAL
620133;CIPOLLETTI
620161;GENERAL ROCA
625056;EL CUY
625063;CERRO POLICIA
625070;MENCUE
625077;AGUADA GUZMAN
625098;NAUPA HUEN
625112;VALLE AZUL
620000;ZONA RURAL
620091;ALLEN
620098;CAMPO GRANDE
620105;CATRIEL
620112;CERVANTES
620119;CHICHINALES
620126;CINCO SALTOS
620133;CIPOLLETTI
620140;CONTRALMIRANTE CORDERO
620147;GENERAL ENRIQUE GODOY
620154;GENERAL FERNANDEZ ORO
620161;GENERAL ROCA
620168;INGENIERO HUERGO
620175;MAINQUE
620182;VILLA REGINA
625105;PEÑAS BLANCAS
620000;ZONA RURAL
620189;MINISTRO RAMOS MEXIA
620196;SIERRA COLORADA
625119;RINCON TRENETA
625126;YAMINUE
625161;CONA NIYEU
625210;COMICO
625259;PRAHUANIYEU
620000;ZONA RURAL
620203;ÑORQUINCO
620224;PILCANIYEU
625238;MAMUEL CHOIQUE
625245;OJOS DE AGUA
625266;RIO CHICO
620000;ZONA RURAL
620210;RIO COLORADO
625133;PICHI MAHUIDA
620000;ZONA RURAL
620217;COMALLO
620224;PILCANIYEU
620273;DINA HUAPI
625042;VILLA LLANQUIN
625140;PILQUINIYEU DEL LIMAY
625231;LAGUNA BLANCA
620231;SAN ANTONIO OESTE
620238;SIERRA GRANDE
620000;ZONA RURAL
620245;VALCHETA
625147;ARROYO LOS BERROS
625154;ARROYO VENTANA
625168;AGUADA CECILIO
625182;NAHUEL NIYEU
625189;SIERRA PAILEMAN
620000;ZONA RURAL
620252;INGENIERO JACOBACCI
620259;LOS MENUCOS
620266;MAQUINCHAO
625196;AGUADA DE GUERRA
625203;COLAN CONUE
625217;CLEMENTE ONELLI
625224;EL CAIN
625252;PILQUINIYEU
660007;APOLINARIO SARAVIA
660014;EL QUEBRACHAL
660021;GENERAL PIZARRO
660028;JOAQUIN V GONZALEZ
660035;LAS LAJITAS
660042;CACHI
660049;PAYOGASTA
660056;CAFAYATE
660063;SALTA
660070;SAN LORENZO
660077;CERRILLOS
660084;LA MERCED
660091;CHICOANA
660098;EL CARRIL
660105;CAMPO SANTO
660112;EL BORDO
660119;GENERAL GUEMES
660126;AGUARAY
660133;EMBARCACION
660140;GENERAL BALLIVIAN
660147;GENERAL MOSCONI
660154;PROFESOR SALVADOR MAZZA
660161;TARTAGAL
660168;GUACHIPAS
660175;IRUYA
660182;ISLA DE CAÑAS
660189;LA CALDERA
660196;VAQUEROS
660203;EL JARDIN
660210;EL TALA
660217;LA CANDELARIA
660224;LA POMA
660231;CORONEL MOLDES
660238;LA VIÑA
660245;SAN ANTONIO DE LOS COBRES
660252;TOLAR GRANDE
660259;EL GALPON
660266;METAN
660280;RIO PIEDRAS
660273;MOLINOS
660287;SECLANTAS
660294;COLONIA SANTA ROSA
660301;HIPOLITO YRIGOYEN
660308;PICHANAL
660315;SAN RAMON DE LA NUEVA ORAN
660322;URUNDEL
660329;RIVADAVIA BANDA NORTE
660336;RIVADAVIA BANDA SUR
660343;SANTA VICTORIA ESTE
660350;EL POTRERO
660357;ROSARIO DE LA FRONTERA
660364;CAMPO QUIJANO
660371;ROSARIO DE LERMA
660378;ANGASTACO
660385;ANIMANA
660392;SAN CARLOS
660399;LOS TOLDOS
660406;NAZARENO
660413;SANTA VICTORIA OESTE
700007;ALBARDON
700014;ANGACO
700021;CALINGASTA
700028;SAN JUAN
700035;CAUCETE
700042;CHIMBAS
700049;IGLESIA
700056;JACHAL
700063;9 DE JULIO
700070;POCITO
700077;RAWSON
700084;RIVADAVIA
700091;SAN MARTIN
700098;SANTA LUCIA
700105;SARMIENTO
700112;ULLUM
700119;VALLE FERTIL
700126;25 DE MAYO
700133;ZONDA
740000;ZONA RURAL
740007;CANDELARIA
740014;LUJAN
740021;QUINES
740028;SAN FRANCISCO DEL MONTE DE ORO
746007;LEANDRO N ALEM
740000;ZONA RURAL
740035;VILLA GENERAL ROCA
746014;LA CALERA
746021;NOGOLI
746028;VILLA DE LA QUEBRADA
740000;ZONA RURAL
740038;ESTANCIA GRANDE
740042;LA TOMA
746035;CAROLINA
746042;EL TRAPICHE
746049;FRAGA
746056;VILLA LA FLORIDA
746063;SALADILLO
740000;ZONA RURAL
740049;CONCARAN
740056;NASCHEL
740063;TILISARAO
746070;CORTADERAS
746077;PAPAGAYOS
746084;RENCA
746091;SAN PABLO
746098;VILLA DEL CARMEN
746105;VILLA LARCA
740000;ZONA RURAL
740070;JUSTO DARACT
740073;NACION RANQUEL
740077;VILLA MERCEDES
746112;SAN JOSE DEL MORRO
746119;JUAN JORBA
746126;JUAN LLERENA
746133;LA PUNILLA
746140;LAVAISSE
740000;ZONA RURAL
740084;BUENA ESPERANZA
740091;UNION
746147;ANCHORENA
746154;ARIZONA
746161;BAGUAL
746168;BATAVIA
746175;FORTIN EL PATRIA
746182;FORTUNA
746189;NAVIA
746196;NUEVA GALIA
740000;ZONA RURAL
740098;SANTA ROSA DEL CONLARA
740105;VILLA DE MERLO
746203;CARPINTERIA
746210;LAFINUR
746217;LOS MOLLES
746224;TALITA
740000;ZONA RURAL
740108;DESAGUADERO
740119;JUANA KOSLAY
740133;SAN LUIS
746231;ALTO PELADO
746238;ALTO PENCOSO
746245;BALDE
746252;BEAZLEY
746259;EL VOLCAN
746266;POTRERO DE LOS FUNES
746273;SAN JERONIMO
746280;ZANJITAS
749007;LA PUNTA
740000;ZONA RURAL
740140;SAN MARTIN
746287;LA VERTIENTE
746294;LAS AGUADAS
746301;LAS CHACRAS
746308;LAS LAGUNAS
746315;PASO GRANDE
746322;VILLA DE PRAGA
780000;ZONA RURAL
780007;COMANDANTE LUIS PIEDRA BUENA
780014;PUERTO SANTA CRUZ
780000;ZONA RURAL
780021;CALETA OLIVIA
780028;LAS HERAS
780035;PICO TRUNCADO
780042;PUERTO DESEADO
785007;CAÑADON SECO
785014;JARAMILLO
785021;KOLUEL KAIKE
789007;FITZ ROY
789014;TELLIER
780000;ZONA RURAL
780049;RIO GALLEGOS
780056;RIO TURBIO
780063;28 DE NOVIEMBRE
789021;EL TURBIO
789028;JULIA DUFOUR
789035;MINA 3
789042;ROSPENTEK
780000;ZONA RURAL
780070;EL CALAFATE
785028;EL CHALTEN
785035;TRES LAGOS
780000;ZONA RURAL
780077;LOS ANTIGUOS
780084;PERITO MORENO
780000;ZONA RURAL
780091;PUERTO SAN JULIAN
780000;ZONA RURAL
780098;GOBERNADOR GREGORES
785042;HIPOLITO YRIGOYEN
789049;BAJO CARACOLES
820007;ARMSTRONG
820014;LAS PAREJAS
820021;LAS ROSAS
822007;BOUQUET
822014;MONTES DE OCA
822021;TORTUGAS
820028;CASILDA
822028;AREQUITO
822035;ARTEAGA
822042;BERABEVU
822049;BIGAND
822056;CHABAS
822063;CHAÑAR LADEADO
822070;GODEKEN
822077;LOS MOLINOS
822084;LOS QUIRQUINCHOS
822091;SAN JOSE DE LA ESQUINA
822098;SANFORD
822105;VILLADA
822595;CAÑADA DEL UCLE
820035;FRONTERA
820042;RAFAELA
820049;SUNCHALES
822112;ANGELICA
822119;ATALIVA
822126;AURELIA
822133;BAUER Y SIGEL
822140;BELLA ITALIA
822147;COLONIA ALDAO
822154;COLONIA BICHA
822161;COLONIA BIGAND
822168;CASTELLANOS
822175;COLONIA CELLO
822182;COLONIA ITURRASPE
822189;COLONIA MARGARITA
822196;COLONIA RAQUEL
822203;CORONEL FRAGA
822210;EGUSQUIZA
822217;ESMERALDA
822224;ESTACION CLUCELLAS
822231;EUSEBIA Y CAROLINA
822238;EUSTOLIA
822245;FIDELA
822252;GALISTEO
822259;GARIBALDI
822266;HUGENTOBLER
822273;HUMBERTO PRIMO
822280;JOSEFINA
822287;LEHMANN
822294;MARIA JUANA
822301;MAUA
822308;PLAZA CLUCELLAS
822315;PRESIDENTE ROCA
822322;PUEBLO MARINI
822329;RAMONA
822336;SAGUIER
822343;SAN ANTONIO
822350;SAN VICENTE
822357;SANTA CLARA DE SAGUIER
822364;SUSANA
822371;TACURAL
822378;TACURALES
822385;VILA
822392;VILLA SAN JOSE
822399;VIRGINIA
822406;ZENON PEREYRA
820056;VILLA CONSTITUCION
820063;FIRMAT
822413;ALCORTA
822420;BOMBAL
822427;CAÑADA RICA
822434;CEPEDA
822441;EMPALME VILLA CONSTITUCION
822448;GENERAL GELLY
822455;GODOY
822462;JUAN B. MOLINA
822469;JUNCAL
822476;LA VANGUARDIA
822483;MAXIMO PAZ
822490;PAVON
822497;PAVON ARRIBA
822504;PEYRANO
822511;RUEDA
822518;SANTA TERESA
822525;SARGENTO CABRAL
822532;THEOBALD
822539;CAYASTA
822546;COLONIA MASCIAS
822553;HELVECIA
822560;SALADERO MARIANO CABAL
822567;SANTA ROSA DE CALCHINES
820063;FIRMAT
820070;RUFINO
820077;VENADO TUERTO
820084;VILLA CAÑAS
822070;GODEKEN
822574;AARON CASTELLANOS
822581;AMENABAR
822588;CAFERATA
822595;CAÑADA DEL UCLE
822602;CARMEN
822609;CARRERAS
822616;CHAPUY
822623;CHOVET
822630;CHRISTOPHERSEN
822637;DIEGO DE ALVEAR
822644;ELORTONDO
822651;HUGHES
822658;LA CHISPA
822665;LABORDEBOY
822672;LAZZARINO
822679;MAGGIOLO
822686;MARIA TERESA
822693;MELINCUE
822700;MIGUEL TORRES
822707;MURPHY
822714;SAN EDUARDO
822721;SAN FRANCISCO DE SANTA FE
822728;SAN GREGORIO
822735;SANCTI SPIRITU
822742;SANTA ISABEL
822749;TEODELINA
822756;WHEELWRIGHT
820091;AVELLANEDA
820098;LAS TOSCAS
820105;MALABRIGO
820112;RECONQUISTA
820119;VILLA OCAMPO
822763;ARROYO CEIBAL
822770;BERNA
822777;EL ARAZA
822784;EL RABON
822791;EL SOMBRERITO
822798;FLORENCIA
822805;GUADALUPE NORTE
822812;INGENIERO CHANOURDIE
822819;LA SARITA
822826;LANTERI
822833;LAS GARZAS
822840;LOS LAURELES
822847;NICANOR MOLINAS
822854;SAN ANTONIO DE OBLIGADO
822861;TACUARENDI
822868;VILLA ANA
822875;VILLA GUILLERMINA
820126;CAÑADA DE GOMEZ
820133;TOTORAS
822882;BUSTINZA
822889;CARRIZALES
822896;CLASSON
822903;CORREA
822910;LUCIO V. LOPEZ
822917;OLIVEROS
822924;PUEBLO ANDINO
822931;SALTO GRANDE
822938;SERODINO
822945;VILLA ELOISA
820140;LAGUNA PAIVA
820147;SANTA FE
820154;SANTO TOME
822952;ARROYO AGUIAR
822959;ARROYO LEYES
822966;CABAL
822973;CAMPO ANDINO
822980;CANDIOTI
822987;EMILIA
822994;LLAMBI CAMPBELL
823001;MONTE VERA
823008;NELSON
823015;RECREO
823022;SAN JOSE DEL RINCON
823029;SAUCE VIEJO
820161;ESPERANZA
820168;SAN CARLOS CENTRO
823036;CAVOUR
823043;SAN JOSE
823050;CULULU
823057;ELISA
823064;EMPALME SAN CARLOS
823071;FELICIA
823078;FRANCK
823085;GRUTLY
823092;HIPATIA
823099;HUMBOLDT
823106;ITUZAINGO
823113;JACINTO L. ARAUZ
823120;LA PELADA
823127;LAS TUNAS
823134;MARIA LUISA
823141;MATILDE
823148;NUEVO TORINO
823155;PILAR
823162;PROGRESO
823169;PROVIDENCIA
823176;PUJATO NORTE
823183;RIVADAVIA
823190;SA PEREYRA
823197;SAN AGUSTIN
823204;SAN CARLOS NORTE
823211;SAN CARLOS SUD
823218;SAN JERONIMO DEL SAUCE
823225;SAN JERONIMO NORTE
823232;SAN MARIANO
823239;SANTA CLARA DE BUENA VISTA
823246;SANTA MARIA CENTRO
823253;SANTA MARIA NORTE
823260;SANTO DOMINGO
823267;SARMIENTO
823274;SOUTOMAYOR
820175;TOSTADO
823281;ESTEBAN RAMS
823288;GATO COLORADO
823295;GREGORIA PEREZ DE DENIS
823302;JUAN DE GARAY
823309;LOGROÑO
823316;MONTEFIORE
823323;POZO BORRADO
823330;SAN BERNARDO
823337;SANTA MARGARITA
823344;VILLA MINETTI
820182;ARROYO SECO
820189;FUNES
820196;GRANADERO BAIGORRIA
820203;PEREZ
820210;ROSARIO
820217;VILLA GOBERNADOR GALVEZ
823351;ACEBAL
823358;ALBARELLOS
823365;ALVAREZ
823372;ALVEAR
823379;ARMINDA
823386;CARMEN DEL SAUCE
823393;CORONEL BOGADO
823400;FIGHIERA
823407;GENERAL LAGOS
823414;IBARLUCEA
823421;PIÑERO
823428;PUEBLO ESTHER
823435;PUEBLO MUÑOZ
823442;SOLDINI
823449;URANGA
823456;VILLA AMELIA
823463;ZAVALLA
823470;CORONEL DOMINGUEZ
823988;CORONEL ARNOLD
820224;CERES
820231;SAN CRISTOBAL
823477;AGUARA GRANDE
823484;AMBROSETTI
823491;ARRUFO
823498;CAPIVARA
823505;COLONIA ANA
823512;COLONIA BOSSI
823519;COLONIA ROSA
823526;CONSTANZA
823533;CURUPAITY
823540;DOS ROSAS Y LA LEGUA
823547;HERSILIA
823554;HUANQUEROS
823561;LA CABRAL
823568;COLONIA CLARA
823575;LA LUCILA
823582;LA RUBIA
823589;LAS AVISPAS
823596;LAS PALMERAS
823603;MOISES VILLE
823610;MONIGOTES
823617;MONTE OSCURIDAD
823624;ÑANDUCITA
823631;PALACIOS
823638;PORTUGALETE
823645;SAN GUILLERMO
823652;SANTURCE
823659;SOLEDAD
823666;SUARDI
823673;VILLA SARALEGUI
823680;VILLA TRINIDAD
820238;SAN JAVIER
823687;ALEJANDRA
823694;CACIQUE ARIACAIQUIN
823701;COLONIA DURAN
823708;LA BRAVA
823715;ROMANG
820245;CORONDA
820252;GALVEZ
820256;SAN GENARO
823722;AROCENA
823729;BARRANCAS
823736;BERNARDO DE IRIGOYEN
823743;CAMPO PIAGGIO
823750;CASALEGNO
823757;CENTENO
823764;DESVIO ARIJON
823771;DIAZ
823778;GABOTO
823785;GESSLER
823792;IRIGOYEN
823799;LARRECHEA
823806;LOMA ALTA
823813;LOPEZ
823820;MACIEL
823827;MONJE
823834;SAN EUGENIO
823841;SAN FABIAN
820259;SAN JUSTO
823862;ANGELONI
823869;CAYASTACITO
823876;COLONIA DOLORES
823883;ESTHER
823890;GOBERNADOR CRESPO
823897;LA CAMILA
823904;LA CRIOLLA
823911;LA PENCA Y CARAGUATA
823918;MARCELINO ESCALADA
823925;NARE
823932;PEDRO GOMEZ CELLO
823939;RAMAYON
823946;SAN BERNARDO
823953;SAN MARTIN NORTE
823960;SILVA
823967;VERA Y PINTADO
823974;VIDELA
820189;FUNES
820266;CAPITAN BERMUDEZ
820273;CARCARAÑA
820280;FRAY LUIS BELTRAN
820287;PUERTO GENERAL SAN MARTIN
820294;ROLDAN
820301;SAN LORENZO
823379;ARMINDA
823414;IBARLUCEA
823463;ZAVALLA
823981;ALDAO
823988;CORONEL ARNOLD
823995;FUENTES
824002;LUIS PALACIOS
824009;PUJATO
824016;RICARDONE
824023;SAN JERONIMO SUD
824030;TIMBUES
824037;VILLA MUGUETA
820308;EL TREBOL
820315;SAN JORGE
820322;SASTRE
824044;CAÑADA ROSQUIN
824051;CARLOS PELLEGRINI
824058;CASAS
824065;CASTELAR
