P12;label
260000;ZONA RURAL
260049;COMODORO RIVADAVIA
260056;RADA TILLY
260000;ZONA RURAL
260063;CAMARONES
260000;ZONA RURAL
260070;CORCOVADO
260077;ESQUEL
260084;TREVELIN
268021;CERRO CENTINELA
260000;ZONA RURAL
260091;DOLAVON
260098;GAIMAN
265014;28 DE JULIO
268028;DIQUE FLORENTINO AMEGHINO
260000;ZONA RURAL
268035;GASTRE
268042;LAGUNITA SALADA
260000;ZONA RURAL
260105;TECKA
268049;ALDEA EPULEF
268056;CARRENLEUFU
268063;COLAN CONHUE
268070;PASO DEL SAPO
260000;ZONA RURAL
268077;LAS PLUMAS
260000;ZONA RURAL
265021;PASO DE INDIOS
268084;LOS ALTARES
260000;ZONA RURAL
260112;RAWSON
260119;TRELEW
260000;ZONA RURAL
260126;ALTO RIO SENGUER
260133;RIO MAYO
268091;ALDEA BELEIRO
268098;DR. RICARDO ROJAS
268105;FACUNDO
268112;LAGO BLANCO
268140;ALDEA APELEG
260000;ZONA RURAL
260140;SARMIENTO
268119;BUEN PASTO
260000;ZONA RURAL
260147;GOBERNADOR COSTA
260154;JOSE DE SAN MARTIN
260161;RIO PICO
268147;VIGLIONE
260000;ZONA RURAL
268126;GAN GAN
268133;TELSEN
140000;ZONA RURAL
140007;EMBALSE
140014;LA CRUZ
140021;LOS CONDORES
140028;RIO DE LOS SAUCES
140035;SANTA ROSA DE CALAMUCHITA
140042;VILLA DEL DIQUE
140049;VILLA GENERAL BELGRANO
140056;SAN AGUSTIN
140063;VILLA RUMIPAL
140070;VILLA YACANTO
142007;AMBOY
142014;CALMAYO
142021;CAÑADA DEL SAUCE
142028;LAS BAJADAS
142035;LAS CALERAS
142042;LOS MOLINOS
142049;LOS REARTES
142056;LUTTI
142063;SAN IGNACIO
142070;SEGUNDA USINA
142077;VILLA AMANCAY
142084;VILLA CIUDAD PARQUE LOS REARTES
142091;VILLA QUILLINZO
143015;LA CUMBRECITA
140077;CORDOBA
140000;ZONA RURAL
140084;AGUA DE ORO
140091;COLONIA CAROYA
140098;COLONIA TIROLESA
140105;ESTACION JUAREZ CELMAN
140112;JESUS MARIA
140119;LA CALERA
140126;LA GRANJA
140133;MALVINAS ARGENTINAS
140140;MENDIOLAZA
140147;RIO CEBALLOS
140154;SALDAN
140161;SALSIPUEDES
140168;UNQUILLO
140175;VILLA ALLENDE
142098;COLONIA VICENTE AGÃœERO
142105;EL MANZANO
142112;ESTACION GENERAL PAZ
142119;MI GRANJA
142126;VILLA CERRO AZUL
142728;TINOCO
140000;ZONA RURAL
140182;CRUZ DEL EJE
140189;SAN MARCOS SIERRAS
140196;SERREZUELA
140203;VILLA DE SOTO
142133;ALTO DE LOS QUEBRACHOS
142140;BAÑADO DE SOTO
142147;CRUZ DE CAÑA
142154;EL BRETE
142161;GUANACO MUERTO
142168;LA BATEA
142175;LA HIGUERA
142182;LAS CAÑADAS
142189;LAS PLAYAS
142196;LOS CHAÑARITOS (C. D. E.)
142203;MEDIA NARANJA
142210;PASO VIEJO
142217;TUCLAME
140000;ZONA RURAL
140210;BUCHARDO
140217;DEL CAMPILLO
140224;HUINCA RENANCO
140231;ITALO
140238;JOVITA
140245;MATTALDI
140252;VILLA HUIDOBRO
140259;VILLA VALERIA
142224;NICOLAS BRUZZONE
142231;ONAGOITY
142238;PINCEN
142245;RANQUELES
142252;VILLA SARMIENTO (G. R.)
140000;ZONA RURAL
140266;ARROYO ALGODON
140273;ARROYO CABRAL
140280;AUSONIA
140287;CHAZON
140294;ETRURIA
140301;LA LAGUNA
140308;LA PALESTINA
140315;LA PLAYOSA
140322;LUCA
140329;PASCO
140336;SILVIO PELLICO
140343;TICINO
140350;TIO PUJIO
140357;VILLA MARIA
140364;VILLA NUEVA
140000;ZONA RURAL
140371;DEAN FUNES
140378;QUILINO
142259;AVELLANEDA
142266;CAÑADA DE RIO PINTO
142273;CHUÑA
142280;COPACABANA
142287;LOS POZOS
142294;OLIVARES DE SAN NICOLAS
142301;VILLA GUTIERREZ
140000;ZONA RURAL
140385;ALEJANDRO ROCA
140392;BENGOLEA
140399;CARNERILLO
140406;CHARRAS
140413;GENERAL CABRERA
140420;GENERAL DEHEZA
140427;HUANCHILLA
140434;LA CARLOTA
140441;LOS CISNES
140448;OLAETA
140455;REDUCCION
140462;SANTA EUFEMIA
140469;UCACHA
142308;ASSUNTA
142315;EL RASTREADOR
142322;PACHECO DE MELO
142329;PASO DEL DURAZNO
140000;ZONA RURAL
140476;ALEJO LEDESMA
140483;ARIAS
140490;CAMILO ALDAO
140497;CAPITAN GENERAL BERNARDO O HIGGINS
140504;CAVANAGH
140511;COLONIA ITALIANA
140518;CORRAL DE BUSTOS
140525;CRUZ ALTA
140532;GENERAL BALDISSERA
140539;GENERAL ROCA
140546;GUATIMOZIN
140553;INRIVILLE
140560;ISLA VERDE
140567;LEONES
140574;LOS SURGENTES
140581;MARCOS JUAREZ
140588;MONTE BUEY
140595;SAIRA
142336;COLONIA BARGE
142343;SALADILLO
142350;VILLA ELISA
140000;ZONA RURAL
140602;SAN CARLOS MINAS
142357;CIENAGA DEL CORO
142364;EL CHACHO
142371;ESTANCIA DE GUADALUPE
142378;GUASAPAMPA
142385;LA PLAYA
142392;TALAINI
142399;TOSNO
140000;ZONA RURAL
140609;SALSACATE
142406;CHANCANI
142413;LAS PALMAS
142420;LOS TALARES
142427;SAN GERONIMO
142434;TALA CAÑADA
142441;VILLA DE POCHO
140000;ZONA RURAL
140616;GENERAL LEVALLE
140623;LA CESIRA
140630;LABOULAYE
140637;MELO
140644;ROSALES
140651;SERRANO
140658;VILLA ROSSI
142448;LEGUIZAMON
142455;RIOBAMBA
142462;SAN JOAQUIN
140000;ZONA RURAL
140665;BIALET MASSE
140672;CAPILLA DEL MONTE
140679;COSQUIN
140686;HUERTA GRANDE
140693;LA CUMBRE
140700;LA FALDA
140707;LOS COCOS
140714;SAN ESTEBAN
140721;SANTA MARIA DE PUNILLA
140728;TANTI
140735;VALLE HERMOSO
140742;VILLA CARLOS PAZ
140749;VILLA GIARDINO
142469;CABALANGO
142476;CASA GRANDE
142483;CHARBONIER
142490;CUESTA BLANCA
142497;ESTANCIA VIEJA
142504;MAYU SUMAJ
142511;SAN ANTONIO DE ARREDONDO
142518;SAN ROQUE
142525;TALA HUASI
142532;VILLA PARQUE SIQUIMAN
142539;VILLA SANTA CRUZ DEL LAGO
142546;VILLA RIO ICHO CRUZ
140000;ZONA RURAL
140756;ACHIRAS
140763;ADELIA MARIA
140770;ALCIRA
140777;ALPA CORRAL
140784;BERROTARAN
140791;BULNES
140798;CHAJAN
140805;CORONEL BAIGORRIA
140812;CORONEL MOLDES
140819;ELENA
140826;LA CAUTIVA
140833;LAS ACEQUIAS
140840;LAS HIGUERAS
140847;LAS VERTIENTES
140854;MONTE DE LOS GAUCHOS
140861;RIO CUARTO
140868;SAMPACHO
140875;SAN BASILIO
140882;SANTA CATALINA
140889;TOSQUITA
140896;VICUÑA MACKENNA
142329;PASO DEL DURAZNO
142553;CHUCUL
142560;LA CAROLINA EL POTOSI
142567;LAS ALBAHACAS
142574;LAS PEÑAS SUD
142581;MALENA
142588;SUCO
142595;VILLA EL CHACAY
142602;WASHINGTON
140000;ZONA RURAL
140903;LA PARA
140910;LA PUERTA
140917;MONTE CRISTO
140924;OBISPO TREJO
140931;PIQUILLIN
140938;RIO PRIMERO
140945;SANTA ROSA DE RIO PRIMERO
140952;VILLA FONTANA
142609;ATAHONA
142616;CAÑADA DE MACHADO
142623;CAPILLA DE LOS REMEDIOS
142630;CHALACEA
142637;COLONIA LAS CUATRO ESQUINAS
142644;COMECHINGONES
142651;DIEGO DE ROJAS
142658;EL CRISPIN
142665;ESQUINA
142672;KILOMETRO 658
142679;LA POSTA
142686;LA QUINTA
142693;LAS GRAMILLAS
142700;LAS SALADAS
142707;MAQUINISTA GALLINI
142714;PLAZA DE MERCEDES
142721;SAGRADA FAMILIA
140000;ZONA RURAL
140959;SEBASTIAN ELCANO
140966;VILLA DE MARIA
142735;CERRO COLORADO
142742;CHAÑAR VIEJO
142749;EUFRACIO LOZA
142756;GUTEMBERG
142763;LA RINCONADA
142770;LOS HOYOS
142777;PUESTO DE CASTRO
142784;RAYO CORTADO
142791;SANTA ELENA
142798;VILLA CANDELARIA NORTE
140000;ZONA RURAL
140973;CALCHIN
140980;CALCHIN OESTE
140987;CAPILLA DEL CARMEN
140994;CARRILOBO
141001;COLAZO
141008;COSTASACATE
141015;LAGUNA LARGA
141022;LAS JUNTURAS
141029;LUQUE
141036;MANFREDI
141043;MATORRALES
141050;ONCATIVO
141057;PILAR
141064;POZO DEL MOLLE
141071;RIO SEGUNDO
141078;SANTIAGO TEMPLE
141085;VILLA DEL ROSARIO
142805;COLONIA VIDELA
142812;IMPIRA
142819;LOS CHAÑARITOS
142826;RINCON
140000;ZONA RURAL
141092;MINA CLAVERO
141099;NONO
141106;SAN PEDRO
141113;VILLA CURA BROCHERO
141120;VILLA SARMIENTO (S. A.)
142833;AMBUL
142840;ARROYO LOS PATOS
142847;LAS CALLES
142854;LAS RABONAS
142861;PANAHOLMA
142868;SAN LORENZO
142875;SAN VICENTE
142882;SAUCE ARRIBA
140000;ZONA RURAL
141127;LA PAZ
141134;SAN JAVIER Y YACANTO
141141;SAN JOSE
141148;VILLA DE LAS ROSAS
141155;VILLA DOLORES
142889;CONLARA
142896;LA POBLACION
142903;LAS TAPIAS
142910;LOS CERRILLOS
142917;LOS HORNILLOS
142924;LUYABA
140000;ZONA RURAL
141162;ALICIA
141169;ALTOS DE CHIPION
141176;ARROYITO
141183;BALNEARIA
141190;BRINKMANN
141197;COLONIA MARINA
141204;COLONIA PROSPERIDAD
141211;COLONIA SAN BARTOLOME
141218;COLONIA VIGNAUD
141225;DEVOTO
141232;EL ARAÑADO
141239;EL FORTIN
141246;EL TIO
141253;FREYRE
141260;LA FRANCIA
141267;LA PAQUITA
141274;LA TORDILLA
141281;LAS VARAS
141288;LAS VARILLAS
141295;MARULL
141302;MIRAMAR
141309;MORTEROS
141316;PORTEÑA
141323;QUEBRACHO HERRADO
141330;SACANTA
141337;SAN FRANCISCO
141344;SATURNINO MARIA LASPIUR
141351;SEEBER
141358;TRANSITO
141365;VILLA CONCEPCION DEL TIO
142931;COLONIA ANITA
142938;COLONIA ITURRASPE
142945;COLONIA LAS PICHANAS
142952;COLONIA SAN PEDRO
142959;COLONIA VALTELINA
142966;PLAZA LUXARDO
142973;TORO PUJIO
142980;VILLA SAN ESTEBAN
140000;ZONA RURAL
141372;ALTA GRACIA
141379;DESPEÑADEROS
141386;LOZADA
141393;MALAGUEÑO
141400;MONTE RALO
141407;TOLEDO
142987;ANISACATE
142994;BOUWER
143001;DIQUE CHICO
143008;FALDA DEL CARMEN
143022;LA PAISANITA
143029;LA RANCHERITA
143036;LA SERRANITA
143043;LOS CEDROS
143050;POTRERO DE GARAY
143057;RAFAEL GARCIA
143064;SAN CLEMENTE
143071;VALLE DE ANISACATE
143078;VILLA CIUDAD DE AMERICA
143085;VILLA DEL PRADO
143092;VILLA LA BOLSA
143099;VILLA LOS AROMOS
143106;VILLA PARQUE SANTA ANA
143113;VILLA SAN ISIDRO
140000;ZONA RURAL
141414;SAN FRANCISCO DEL CHAÑAR
143120;CAMINIAGA
